country,year,population,gdp,electricity_demand,electricity_generation,electricity_share_energy,carbon_intensity_elec,greenhouse_gas_emissions,net_elec_imports,primary_energy_consumption,biofuel_consumption,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,coal_consumption,coal_electricity,coal_share_elec,coal_share_energy,fossil_electricity,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_consumption,gas_electricity,gas_share_elec,gas_share_energy,hydro_consumption,hydro_electricity,hydro_share_elec,hydro_share_energy,nuclear_consumption,nuclear_electricity,nuclear_share_elec,nuclear_share_energy,oil_consumption,oil_electricity,oil_share_elec,oil_share_energy,renewables_consumption,renewables_electricity,renewables_share_elec,renewables_share_energy,solar_consumption,solar_electricity,solar_share_elec,solar_share_energy,wind_consumption,wind_electricity,wind_share_elec,wind_share_energy,continent,status
China,1991,1170626176.0,3508947910656.0,,677.55,8.372,,,,8337.61,,,,,6433.427,498.434,73.564,77.162,552.786,7968.69,81.586,95.575,156.118,2.429,0.358,1.872,368.704,124.689,18.403,4.422,0.0,0.0,0.0,0.0,1379.144,51.923,7.663,16.541,368.921,124.764,18.414,4.425,0.006,0.002,0.0,0.0,0.027,0.009,0.001,0.0,Asia,High-Income
China,1992,1183813376.0,3755037425664.0,,753.94,8.852,,,,8773.708,,,,,6731.497,567.33,75.249,76.724,623.007,8386.55,82.633,95.587,159.142,2.467,0.327,1.814,386.437,130.686,17.334,4.404,0.0,0.0,0.0,0.0,1495.912,53.21,7.058,17.05,387.158,130.933,17.367,4.413,0.009,0.003,0.0,0.0,0.388,0.131,0.017,0.004,Asia,High-Income
China,1993,1195855616.0,4126169628672.0,,811.59,8.863,,,,9457.634,,,,,7170.356,589.228,72.602,75.816,657.806,9003.102,81.052,95.194,168.969,3.124,0.385,1.787,449.007,151.846,18.71,4.748,4.551,1.604,0.198,0.048,1663.776,65.454,8.065,17.592,449.981,152.179,18.751,4.758,0.012,0.004,0.0,0.0,0.627,0.212,0.026,0.007,Asia,High-Income
China,1994,1207286656.0,4438753280000.0,,927.8,9.573,,,,10048.812,,,,,7641.667,693.408,74.737,76.045,744.761,9509.277,80.272,94.631,176.971,3.154,0.34,1.761,495.086,167.429,18.046,4.927,41.87,14.756,1.59,0.417,1690.638,48.199,5.195,16.824,497.665,168.278,18.137,4.952,0.015,0.005,0.001,0.0,1.135,0.384,0.041,0.011,Asia,High-Income
China,1995,1218144384.0,4810000039936.0,,1007.03,10.123,,,,10352.658,,,,,7736.85,741.886,73.671,74.733,799.979,9741.276,79.439,94.094,178.795,2.999,0.298,1.727,563.543,190.58,18.925,5.443,36.414,12.833,1.274,0.352,1825.631,55.094,5.471,17.634,574.968,194.217,19.286,5.554,0.021,0.007,0.001,0.0,1.822,0.616,0.061,0.018,Asia,High-Income
China,1996,1228298880.0,5127589593088.0,,1081.31,10.289,,,,10907.449,,,,,8095.389,824.184,76.221,74.219,877.363,10305.78,81.139,94.484,187.362,2.828,0.262,1.718,555.825,187.97,17.384,5.096,40.684,14.338,1.326,0.373,2023.029,50.351,4.656,18.547,560.985,189.606,17.535,5.143,0.027,0.009,0.001,0.0,0.278,0.094,0.009,0.003,Asia,High-Income
China,1997,1237801472.0,5291338891264.0,,1135.55,10.748,,,,10981.134,,,,,7931.912,867.026,76.353,72.232,922.219,10351.442,81.213,94.266,197.985,8.077,0.711,1.803,579.511,195.98,17.259,5.277,40.911,14.418,1.27,0.373,2221.545,47.115,4.149,20.231,588.779,198.911,17.517,5.362,0.033,0.011,0.001,0.0,0.585,0.198,0.017,0.005,Asia,High-Income
China,1998,1246836096.0,5338703069184.0,,1167.0,11.031,,,,11000.566,,,,,7871.717,891.674,76.407,71.557,951.158,10363.471,81.505,94.209,204.163,6.092,0.522,1.856,588.116,198.89,17.043,5.346,40.009,14.1,1.208,0.364,2287.591,53.392,4.575,20.795,597.086,201.74,17.287,5.428,0.041,0.014,0.001,0.0,1.051,0.356,0.03,0.01,Asia,High-Income
China,1999,1255433216.0,5578502963200.0,,1239.3,11.3,,,,11386.067,,,,,8099.032,969.684,78.245,71.131,1024.758,10752.908,82.688,94.439,216.631,4.813,0.388,1.903,581.285,196.58,15.862,5.105,42.418,14.949,1.206,0.373,2437.245,50.261,4.056,21.405,590.742,199.591,16.105,5.188,0.05,0.017,0.001,0.0,1.401,0.474,0.038,0.012,Asia,High-Income
China,2000,1264099072.0,5952682590208.0,1346.85,1355.6,11.967,672.367,911.46,-8.75,11800.283,0.0,2.54,0.187,0.0,8211.406,1060.26,78.213,69.587,1113.3,11085.259,82.126,93.941,246.957,5.77,0.426,2.093,657.664,222.41,16.407,5.573,47.491,16.74,1.235,0.402,2626.896,47.27,3.487,22.261,667.533,225.56,16.639,5.657,0.065,0.02,0.001,0.001,1.744,0.59,0.044,0.015,Asia,High-Income
China,2001,1272739584.0,6329737412608.0,1472.19,1480.79,12.45,654.88,969.74,-8.6,12470.062,0.0,2.55,0.172,0.0,8635.754,1129.14,76.253,69.252,1182.59,11595.461,79.862,92.986,276.458,4.93,0.333,2.217,815.031,277.43,18.735,6.536,49.255,17.47,1.18,0.395,2683.249,48.52,3.277,21.518,825.347,280.73,18.958,6.619,0.091,0.03,0.002,0.001,2.113,0.72,0.049,0.017,Asia,High-Income
China,2002,1280926080.0,6814493573120.0,1645.61,1654.01,12.747,663.279,1097.07,-8.4,13580.49,1.715,2.55,0.154,0.013,9467.457,1282.57,77.543,69.714,1337.47,12657.19,80.862,93.201,294.136,4.19,0.253,2.166,840.537,287.97,17.41,6.189,70.378,25.13,1.519,0.518,2895.598,50.71,3.066,21.322,852.921,291.41,17.618,6.28,0.14,0.05,0.003,0.001,2.444,0.84,0.051,0.018,Asia,High-Income
